City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Name,Date
83,contai,21.7786,87.7536,83.89,80,57,17.58,IN,1660532143
84,phan thiet,10.9333,108.1,79.97,85,99,4.27,VN,1660531923
85,dikson,73.5069,80.5464,44.02,92,100,6.38,RU,1660532144
86,pisco,-13.7,-76.2167,60.85,82,4,4.61,PE,1660532080
87,plettenberg bay,-34.0527,23.3716,47.61,80,34,8.12,ZA,1660532145
88,matara,5.9485,80.5353,82.04,74,85,9.78,LK,1660532145
89,isangel,-19.55,169.2667,78.91,83,100,9.22,VU,1660531967
90,carnarvon,-24.8667,113.6333,74.32,58,73,13.09,AU,1660532146
91,provideniya,64.3833,-173.3,57.31,58,0,8.95,RU,1660532147
92,jamestown,42.097,-79.2353,64.78,65,0,5.75,US,1660531853
93,lienz,46.8289,12.769,60.89,90,97,3.42,AT,1660532148
94,bilibino,68.0546,166.4372,45.21,72,96,2.84,RU,1660532148
95,clinton,42.587,-82.9199,67.26,80,75,6.91,US,1660531868
96,muisne,0.6,-80.0333,73.69,88,99,10.45,EC,1660532149
97,payo,-3.7508,103.6372,86.54,60,94,2.89,ID,1660532150
98,kachug,53.9606,105.8817,67.75,64,63,2.24,RU,1660532150
99,busselton,-33.65,115.3333,61.99,77,77,18.72,AU,1660532151
100,heiligenhafen,54.3667,10.9833,61.75,95,42,8.57,DE,1660532151
101,nhulunbuy,-12.2333,136.7667,83.01,32,0,17.27,AU,1660532116
102,avera,33.194,-82.5271,74.21,49,5,5.14,US,1660532152
103,nikolskoye,59.7035,30.7861,60.64,85,6,3.56,RU,1660532152
104,benguela,-12.5763,13.4055,65.35,91,19,5.1,AO,1660532153
105,tuktoyaktuk,69.4541,-133.0374,48.2,87,100,16.11,CA,1660532153
106,castro,-24.7911,-50.0119,55.74,67,0,4.54,BR,1660532154
107,olga,43.7444,135.2892,71.62,69,100,4.25,RU,1660532154
108,victor harbor,-35.5667,138.6167,59.0,70,90,11.18,AU,1660532155
109,haines junction,60.7522,-137.5108,60.75,59,100,5.75,CA,1660532155
110,termoli,41.9888,14.9895,70.57,58,0,7.81,IT,1660532156
111,port augusta,-32.5,137.7667,63.37,51,36,20.51,AU,1660532156
112,turbana,10.2717,-75.4422,76.01,90,100,3.31,CO,1660532157
